wavelength_nm,srf
4.360000000000000000e+02,9.999999747378751636e-06
4.370000000000000000e+02,6.099999882280826569e-05
4.380000000000000000e+02,1.170000032288953662e-04
4.390000000000000000e+02,2.410000015515834093e-04
4.400000000000000000e+02,3.490000090096145868e-04
4.410000000000000000e+02,4.550000012386590242e-04
4.420000305175781250e+02,7.559999939985573292e-04
4.430000000000000000e+02,1.197000034153461456e-03
4.439999694824218750e+02,2.069999929517507553e-03
4.450000000000000000e+02,3.712000092491507530e-03
4.460000000000000000e+02,6.868999917060136795e-03
4.470000000000000000e+02,1.321200001984834671e-02
4.480000305175781250e+02,2.717000059783458710e-02
4.490000000000000000e+02,5.860599875450134277e-02
4.500000000000000000e+02,1.308760046958923340e-01
4.510000000000000000e+02,2.713699936866760254e-01
4.520000000000000000e+02,4.935419857501983643e-01
4.530000000000000000e+02,7.239710092544555664e-01
4.540000000000000000e+02,8.575099706649780273e-01
4.550000000000000000e+02,8.942220211029052734e-01
4.560000000000000000e+02,9.030339717864990234e-01
4.570000000000000000e+02,9.109280109405517578e-01
4.580000000000000000e+02,9.098799824714660645e-01
4.590000000000000000e+02,8.994749784469604492e-01
4.600000000000000000e+02,8.979769945144653320e-01
4.610000000000000000e+02,8.896669745445251465e-01
4.620000000000000000e+02,8.835420012474060059e-01
4.630000000000000000e+02,8.774530291557312012e-01
4.640000000000000000e+02,8.810110092163085938e-01
4.650000000000000000e+02,8.747209906578063965e-01
4.660000305175781250e+02,8.796880245208740234e-01
4.670000305175781250e+02,8.865690231323242188e-01
4.680000000000000000e+02,8.919129967689514160e-01
4.690000000000000000e+02,8.876799941062927246e-01
4.700000000000000000e+02,8.611570000648498535e-01
4.710000000000000000e+02,8.485329747200012207e-01
4.719999694824218750e+02,8.408280014991760254e-01
4.730000000000000000e+02,8.283389806747436523e-01
4.740000000000000000e+02,8.442019820213317871e-01
4.750000305175781250e+02,8.658639788627624512e-01
4.759999694824218750e+02,8.684970140457153320e-01
4.769999694824218750e+02,8.902530074119567871e-01
4.780000000000000000e+02,9.125379920005798340e-01
4.790000000000000000e+02,9.103850126266479492e-01
4.800000000000000000e+02,9.188219904899597168e-01
4.809999694824218750e+02,9.317259788513183594e-01
4.819999694824218750e+02,9.318130016326904297e-01
4.830000000000000000e+02,9.542480111122131348e-01
4.840000305175781250e+02,9.555450081825256348e-01
4.850000000000000000e+02,9.624199867248535156e-01
4.860000305175781250e+02,9.564239978790283203e-01
4.870000000000000000e+02,9.533519744873046875e-01
4.880000000000000000e+02,9.785640239715576172e-01
4.889999694824218750e+02,9.891039729118347168e-01
4.899999694824218750e+02,9.856150150299072266e-01
4.909999694824218750e+02,9.894689917564392090e-01
4.920000000000000000e+02,9.822620153427124023e-01
4.929999694824218750e+02,9.688010215759277344e-01
4.940000305175781250e+02,9.673320055007934570e-01
4.950000305175781250e+02,9.768360257148742676e-01
4.959999694824218750e+02,9.887290000915527344e-01
4.970000000000000000e+02,9.808260202407836914e-01
4.980000305175781250e+02,9.673609733581542969e-01
4.990000000000000000e+02,9.547539949417114258e-01
5.000000000000000000e+02,9.641320109367370605e-01
5.010000000000000000e+02,9.661250114440917969e-01
5.020000000000000000e+02,9.667720198631286621e-01
5.030000305175781250e+02,9.818339943885803223e-01
5.040000000000000000e+02,9.823200106620788574e-01
5.050000000000000000e+02,9.656850099563598633e-01
5.060000000000000000e+02,9.631350040435791016e-01
5.070000305175781250e+02,9.722610116004943848e-01
5.080000000000000000e+02,9.964979887008666992e-01
5.090000000000000000e+02,1.000000000000000000e+00
5.099999694824218750e+02,9.556000232696533203e-01
5.110000305175781250e+02,8.448929786682128906e-01
5.120000000000000000e+02,5.345919728279113770e-01
5.130000000000000000e+02,1.907380074262619019e-01
5.140000000000000000e+02,4.832899942994117737e-02
5.150000000000000000e+02,1.389400009065866470e-02
5.160000000000000000e+02,5.328000057488679886e-03
5.170000000000000000e+02,2.611000090837478638e-03
5.180000000000000000e+02,1.556999981403350830e-03
5.190000000000000000e+02,1.099999994039535522e-03
5.200000000000000000e+02,7.849999819882214069e-04
5.210000000000000000e+02,5.159999709576368332e-04
5.220000000000000000e+02,3.209999995306134224e-04
5.230000000000000000e+02,1.619999966351315379e-04
5.240000000000000000e+02,7.200000254670158029e-05
5.250000000000000000e+02,5.700000110664404929e-05
5.260000000000000000e+02,2.300000051036477089e-05
5.270000000000000000e+02,3.199999991920776665e-05
5.280000000000000000e+02,0.000000000000000000e+00
